vhigh,vhigh,2,4,small,low,unacc
vhigh,high,3,2,med,high,unacc
vhigh,med,4,4,big,high,acc
vhigh,low,5more,2,big,high,unacc
high,med,3,2,big,low,unacc
high,low,4,4,med,high,acc
med,vhigh,3,4,small,low,unacc
med,high,2,more,med,high,acc
med,high,3,more,small,low,unacc
med,med,5more,more,big,high,vgood
med,low,3,more,big,low,unacc
low,vhigh,2,2,med,low,unacc
low,high,4,2,small,high,unacc
low,high,4,4,big,low,unacc
low,med,2,4,med,high,good
low,med,4,2,big,low,unacc
low,low,2,more,big,med,good
low,low,5more,4,med,high,vgood
vhigh,med,2,2,med,med,unacc
vhigh,med,2,2,big,med,unacc
vhigh,med,2,4,small,med,unacc
vhigh,med,2,more,big,med,acc
vhigh,med,2,more,big,high,acc
vhigh,med,3,4,small,high,acc
vhigh,med,3,4,med,high,acc
vhigh,med,3,4,big,med,acc
vhigh,med,3,4,big,high,acc
vhigh,med,3,more,small,high,acc
vhigh,med,3,more,med,med,acc
vhigh,med,3,more,med,high,acc
vhigh,med,3,more,big,med,acc
vhigh,med,3,more,big,high,acc
vhigh,med,4,4,big,med,acc
low,high,4,4,big,med,acc
low,high,4,4,med,med,acc
low,high,4,more,small,med,acc
low,high,4,more,small,high,acc
low,high,4,more,med,med,acc
low,high,4,more,big,med,acc
low,high,5more,4,small,med,acc
low,high,5more,4,small,high,acc
med,med,2,4,big,high,vgood
med,med,2,more,big,high,vgood
med,med,3,4,big,high,vgood
med,med,3,more,med,high,vgood
med,med,3,more,big,high,vgood
med,med,4,4,med,high,vgood
med,med,4,4,big,high,vgood
med,med,4,more,med,high,vgood
med,med,4,more,big,high,vgood
med,med,5more,4,med,high,vgood
med,med,5more,4,big,high,vgood
med,med,5more,more,med,high,vgood
med,med,5more,more,big,high,vgood
med,low,2,4,small,high,good
med,low,2,4,med,high,good
med,low,2,4,big,med,good
med,low,2,4,big,high,vgood
med,low,2,more,med,high,good
med,low,2,more,big,med,good
med,low,3,4,small,high,good
med,low,3,4,med,high,good
med,low,3,4,big,med,good
med,low,3,more,small,high,good
med,low,3,more,med,med,good
med,low,3,more,big,med,good
med,low,4,4,small,high,good
med,low,4,4,med,med,good
med,low,4,4,big,med,good
med,low,4,more,small,high,good
med,low,4,more,med,med,good
med,low,4,more,med,high,vgood
med,low,4,more,big,high,vgood
low,high,2,4,big,high,vgood
low,high,3,4,big,high,vgood
low,high,3,more,med,high,vgood
low,high,3,more,big,high,vgood
low,high,4,4,med,high,vgood
med,low,5more,more,med,med,good
med,low,5more,more,big,med,good
