vhigh,vhigh,2,4,small,low,unacc
vhigh,high,3,2,med,high,unacc
vhigh,med,4,4,big,high,acc
vhigh,low,5more,2,big,high,unacc
high,med,3,2,big,low,unacc
high,low,4,4,med,high,acc
med,vhigh,3,4,small,low,unacc
med,high,2,more,med,high,acc
med,high,3,more,small,low,unacc
med,med,5more,more,big,high,vgood
med,low,3,more,big,low,unacc
low,vhigh,2,2,med,low,unacc
low,high,4,2,small,high,unacc
low,high,4,4,big,low,unacc
low,med,2,4,med,high,good
low,med,4,2,big,low,unacc
low,low,2,more,big,med,good
low,low,5more,4,med,high,vgood
